tranche_id	generation	heavy_atom_bin	logp_bin	url	expected_bytes
zinc-22f-H11P240	f	11	240	https://files.docking.org/zinc22/zinc-22f/H11/H11P240/H11P240-M.f.smi.gz	384
zinc-22f-H11P250	f	11	250	https://files.docking.org/zinc22/zinc-22f/H11/H11P250/H11P250-M.f.smi.gz	263
zinc-22f-H11P260	f	11	260	https://files.docking.org/zinc22/zinc-22f/H11/H11P260/H11P260-M.f.smi.gz	111
zinc-22f-H11P270	f	11	270	https://files.docking.org/zinc22/zinc-22f/H11/H11P270/H11P270-M.f.smi.gz	162
zinc-22f-H11P280	f	11	280	https://files.docking.org/zinc22/zinc-22f/H11/H11P280/H11P280-M.f.smi.gz	141
zinc-22f-H11P290	f	11	290	https://files.docking.org/zinc22/zinc-22f/H11/H11P290/H11P290-M.f.smi.gz	52
zinc-22f-H11P310	f	11	310	https://files.docking.org/zinc22/zinc-22f/H11/H11P310/H11P310-M.f.smi.gz	52
zinc-22f-H11P320	f	11	320	https://files.docking.org/zinc22/zinc-22f/H11/H11P320/H11P320-M.f.smi.gz	74
zinc-22f-H11P330	f	11	330	https://files.docking.org/zinc22/zinc-22f/H11/H11P330/H11P330-M.f.smi.gz	73
zinc-22f-H11P350	f	11	350	https://files.docking.org/zinc22/zinc-22f/H11/H11P350/H11P350-M.f.smi.gz	52
zinc-22f-H12P000	f	12	0	https://files.docking.org/zinc22/zinc-22f/H12/H12P000/H12P000-M.f.smi.gz	2676
zinc-22f-H12P010	f	12	10	https://files.docking.org/zinc22/zinc-22f/H12/H12P010/H12P010-M.f.smi.gz	2421
zinc-22f-H12P020	f	12	20	https://files.docking.org/zinc22/zinc-22f/H12/H12P020/H12P020-M.f.smi.gz	2905
zinc-22f-H12P030	f	12	30	https://files.docking.org/zinc22/zinc-22f/H12/H12P030/H12P030-M.f.smi.gz	3602
zinc-22f-H12P040	f	12	40	https://files.docking.org/zinc22/zinc-22f/H12/H12P040/H12P040-M.f.smi.gz	3127
zinc-22f-H12P050	f	12	50	https://files.docking.org/zinc22/zinc-22f/H12/H12P050/H12P050-M.f.smi.gz	3236
zinc-22f-H12P060	f	12	60	https://files.docking.org/zinc22/zinc-22f/H12/H12P060/H12P060-M.f.smi.gz	3822
zinc-22f-H12P070	f	12	70	https://files.docking.org/zinc22/zinc-22f/H12/H12P070/H12P070-M.f.smi.gz	3869
zinc-22f-H12P080	f	12	80	https://files.docking.org/zinc22/zinc-22f/H12/H12P080/H12P080-M.f.smi.gz	3483
zinc-22f-H12P090	f	12	90	https://files.docking.org/zinc22/zinc-22f/H12/H12P090/H12P090-M.f.smi.gz	4199
zinc-22f-H12P100	f	12	100	https://files.docking.org/zinc22/zinc-22f/H12/H12P100/H12P100-M.f.smi.gz	3373
zinc-22f-H12P110	f	12	110	https://files.docking.org/zinc22/zinc-22f/H12/H12P110/H12P110-M.f.smi.gz	4813
zinc-22f-H12P120	f	12	120	https://files.docking.org/zinc22/zinc-22f/H12/H12P120/H12P120-M.f.smi.gz	3277
zinc-22f-H12P130	f	12	130	https://files.docking.org/zinc22/zinc-22f/H12/H12P130/H12P130-M.f.smi.gz	4100
zinc-22f-H12P140	f	12	140	https://files.docking.org/zinc22/zinc-22f/H12/H12P140/H12P140-M.f.smi.gz	3558
zinc-22f-H12P150	f	12	150	https://files.docking.org/zinc22/zinc-22f/H12/H12P150/H12P150-M.f.smi.gz	3384
zinc-22f-H12P160	f	12	160	https://files.docking.org/zinc22/zinc-22f/H12/H12P160/H12P160-M.f.smi.gz	3295
zinc-22f-H12P170	f	12	170	https://files.docking.org/zinc22/zinc-22f/H12/H12P170/H12P170-M.f.smi.gz	2823
